Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT03549442,Up-front CART-BCMA With or Without huCART19 in High-risk Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Combination Product: BCMA CART + huCART19|Combination Product: CART BCMA or CART BCMA + huCART19|Combination Product: Single-dose infusion of CART BCMA or CART BCMA + huCART19,"Adverse event reporting|Clinical outcomes after each CAR T cell regimen|CART cell disposition|Evaluate effects of huCART19 on correlative parameters of CART BCMA resistance and clonogenic multiple myeloma cells, such as the following:|Composition of investigative products|Maintenance therapy effects on persistence|Maintenance therapy effects on adverse events|Immune cell phenotyping",University of Pennsylvania|Novartis,All,"18 Years and older   (Adult, Older Adult)",Phase 1,32,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,828773,9-May-18,May-20,May-21,8-Jun-18,null,20-Jun-18,"Univ. of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03549442
2,NCT03464916,Study to Evaluate the Safety and Efficacy of Anti-CD38 CAR-T in Relapsed or Refractory Multiple Myeloma Patients,,Recruiting,No Results Available,Relapsed or Refractory Multiple Myeloma,Biological: CAR2 Anti-CD38 A2 CAR-T Cells,Determine the MTD|Determine the CAR2 Anti-CD38 A2 CAR-T cell blood concentrations (Pharmacokinetic [PK] Profile) to evaluate the Cmax|Determine the CAR2 Anti-CD38 A2 CAR-T cell blood concentrations (Pharmacokinetic [PK] Profile) to evaluate the AUC|Evaluate the safety of Anti-CD38 A2 CAR-T cells in Patients with RRMM by incidence of treatment-emergent adverse events|Assess preliminary efficacy by response rate in accordance with the modified International Myeloma Working Group (IMWG) criteria|Assess preliminary efficacy by depth of response in accordance with the modified International Myeloma Working Group (IMWG) criteria.|Assess preliminary efficacy by duration of response in accordance with the modified International Myeloma Working Group (IMWG) criteria.|Assess preliminary efficacy by progression-free survival.|Assess preliminary efficacy by overall survival.|The determination of the recommended phase 2 dose (RP2D) will be based on an evaluation of treatment-emergent events.|The determination of the recommended phase 2 dose will be based on an evaluation of overall response rate.|The determination of the recommended phase 2 dose (RP2D) will be based on an evaluation of depth of response.|The determination of the recommended phase 2 dose (RP2D) will be based on an evaluation of duration of response.|The determination of the recommended phase 2 dose (RP2D) will be based on an evaluation of progression-free survival.|The determination of the recommended phase 2 dose (RP2D) will be based on an evaluation of overall survival.,"Sorrento Therapeutics, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,72,Industry,Interventional,Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SOR-CART-MM-001,5-Apr-18,Apr-20,1-Sep-20,14-Mar-18,null,27-Jun-18,"University of Pennsylvania, Abramson Cancer Center, Philadelphia, Pennsylvania, United States|Roger Williams Medical Center, Providence, Rhode Island, United States",,https://ClinicalTrials.gov/show/NCT03464916
3,NCT02794246,CART-19 Post-ASCT for Multiple Myeloma,,"Active, not recruiting",No Results Available,Multiple Myeloma,Biological: CART-19 cells,Evaluate Progression Free Survival,University of Pennsylvania,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,25,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UPCC 19416, 824655",Jun-16,Jun-19,Dec-20,9-Jun-16,null,9-Nov-17,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02794246
4,NCT02546167,CART-BCMA Cells for Multiple Myeloma,,"Active, not recruiting",No Results Available,Multiple Myeloma,Biological: CART-BCMA,Number of Adverse Events,University of Pennsylvania,All,"18 Years and older   (Adult, Older Adult)",Phase 1,25,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UPCC 14415, 822756",Sep-15,Sep-19,Sep-20,10-Sep-15,null,15-Oct-18,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02546167
5,NCT03502577,BCMA-Specific CAR T-Cells Combined With a Gamma Secretase Inhibitor (LY3039478) to Treat Relapsed or Persistent Multiple Myeloma,,Recruiting,No Results Available,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Biological: BCMA-specific CAR-expressing T Lymphocytes|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Gamma-Secretase Inhibitor LY3039478|Other: Laboratory Biomarker Analysis|Other: Pharmacokinetic Study,Maximum tolerated dose (MTD) of chimeric antigen receptor (CAR) T cells|Incidence of general toxicities|Objective response rate of complete remission and partial remission|Progression-free survival|Overall survival|Duration of persistence of adoptively transferred B-cell maturation antigen (BCMA) CAR T cells|Evaluation of the migration of adoptively transferred BCMA CAR T cells,Fred Hutchinson Cancer Research Center|National Cancer Institute (NCI),All,"22 Years and older   (Adult, Older Adult)",Phase 1,18,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9952|NCI-2018-00514|P30CA015704,30-Sep-18,30-Jul-21,30-Jul-34,18-Apr-18,null,1-Aug-18,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03502577
6,NCT03070327,BCMA Targeted CAR T Cells With or Without Lenalidomide for the Treatment of Multiple Myeloma,,Recruiting,No Results Available,Multiple Myeloma,Biological: EGFRt/BCMA-41BBz CAR T cell|Drug: Cyclophosphamide|Drug: Lenalidomide.,MTD of gene-modified T cells,"Memorial Sloan Kettering Cancer Center|Juno Therapeutics, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,36,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-025,27-Feb-17,Feb-20,Feb-20,3-Mar-17,null,10-Sep-18,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03070327
7,NCT02135406,CART-19 for Multiple Myeloma,,Completed,No Results Available,Multiple Myeloma,Biological: CART-19 T cells,Number of Adverse Events,University of Pennsylvania,All,"18 Years and older   (Adult, Older Adult)",Phase 1,13,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UPCC02413, 817462",May-14,Sep-15,18-Jan-18,12-May-14,null,13-Feb-18,"Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02135406
8,NCT03710421,CS1-CAR T Therapy Following Chemotherapy in Treating Patients With Relapsed or Refractory Multiple Myeloma,,Not yet recruiting,No Results Available,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Procedure: CS1-CAR T Therapy|Drug: Cyclophosphamide|Drug: Fludarabine|Procedure: Leukapheresis,Incidence of dose-limiting toxicity (DLT) and all other toxicities|Disease response|Expansion of chimeric antigen receptor (CAR) T cells|Persistence of chimeric antigen receptor (CAR) T cells|Phenotype and anti‐tumor functionality of modified T cells in marrow and blood|Anti‐tumor functionality of modified T cells in marrow and blood|Cytokine levels in blood and marrow|Soluble CS‐1 levels in blood and marrow|Disease free survival (DFS)|Progression-free survival|CS1 expression on multiple myeloma cells,City of Hope Medical Center|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,30,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17403|NCI-2018-02022,10-Dec-18,10-Dec-21,10-Dec-21,18-Oct-18,null,18-Oct-18,"City of Hope Medical Center, Duarte, California, United States",,https://ClinicalTrials.gov/show/NCT03710421
9,NCT03338972,Immunotherapy With BCMA CAR-T Cells in Treating Patients With BCMA Positive Relapsed or Refractory Multiple Myeloma,,Recruiting,No Results Available,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma|TNFRSF17 Positive,Biological: Autologous Anti-BCMA-CAR-expressing CD4+/CD8+ T-lymphocytes FCARH143|Drug: Cyclophosphamide|Drug: Fludarabine|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis,Dose-limiting toxicity (DLT)|Incidence of toxicity graded using National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.03|Duration of persistence of adoptively transferred BCMA CAR-T cells|Migration of adoptively transferred BCMA CAR-T cells|Objective response rate (ORR)|Progression-free survival (PFS)|Overall survival (OS),"Fred Hutchinson Cancer Research Center|Juno Therapeutics, Inc.|National Cancer Institute (NCI)",All,"22 Years and older   (Adult, Older Adult)",Phase 1,25,Other|Industry|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9762|NCI-2017-01932|P30CA015704,29-Nov-17,15-Dec-20,15-Dec-22,9-Nov-17,null,27-Mar-18,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT03338972
10,NCT03548207,"A Study of JNJ-68284528, a Chimeric Antigen Receptor T Cell (CAR-T) Therapy Directed Against B-Cell Maturation Antigen (BCMA) in Participants With Relapsed or Refractory Multiple Myeloma",,Recruiting,No Results Available,Multiple Myeloma,Biological: JNJ-68284528,"Phase 1b: Number of Participants with Adverse Events|Phase 1b: Number of Participants with Adverse Events by Severity|Phase 2: Overall Response Rate (ORR)|Phase 2: Number of Participants with Adverse Events|Chimeric Antigen Receptor T (cells) (CAR-T) Positive Cellular Concentration of JNJ-68284528|Transgene Levels of JNJ-68284528|Levels of B-Cell Maturation Antigen (BCMA) Expressing Cells and Soluble BCMA|Systemic Cytokine Concentrations|Immune Related Proteins Levels|Levels of CAR-T cell Activation Markers|Level of JNJ-68284528 CAR-T cell Expansion (proliferation), and Persistence|Number of Participants with Anti-JNJ-68284528 Antibodies|Very Good Partial Response (VGPR) or Better Rate|Percentage of Participants who Achieve Clinical Benefit Rate|Duration of and Response (DOR)|Progression-free Survival (PFS)|Overall Survival (OS)|Percentage of Participants With Negative Minimal Residual Disease (MRD)|Time to Response (TTR)|Change from Baseline in Health-related Quality of Life (HRQoL) as Measured by EORTC QLQ-C30|Change from Baseline in HRQoL as Measured by EORTC QLQ-MY20|Change from Baseline in Participant-reported Health Status Measured by EQ-5D-5L|Change from Baseline in Global Health Status Using PGIC Scale|Change from Baseline in Pain Measured by PGIS Scale","Janssen Research & Development, LLC",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,84,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CR108480|2018-000121-32|68284528MMY2001,29-Jun-18,14-Sep-21,14-Sep-21,7-Jun-18,null,15-Oct-18,"University of Chicago, Chicago, Illinois, United States|Mount Sinai Medical Center, New York, New York, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03548207
